日期Date	指数代码Index Code	指数中文全称Index Chinese Name(Full)	指数中文简称Index Chinese Name	指数英文全称Index English Name(Full)	指数英文简称Index Chinese Name	开盘Open	最高High	最低Low	收盘Close	涨跌Change	涨跌幅(%)Change(%)	成交量（万手）Volume(M Shares)	成交金额（亿元）Turnover	样本数量ConsNumber
20220519	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	897.03	911.16	894.96	910.82	-1.89	-0.21	985.96	77.42	50
20220520	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	912.38	924.32	911.32	923.73	12.91	1.42	1049.78	81.33	50
20220523	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	937.50	947.32	927.01	929.91	6.18	0.67	1359.81	105.66	50
20220524	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	930.57	932.26	896.53	896.53	-33.39	-3.59	1332.04	107.55	50
20220525	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	895.19	928.00	895.19	927.79	31.27	3.49	1329.65	106.94	50
20220526	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	927.69	938.55	919.14	938.34	10.55	1.14	1491.55	114.54	50
20220527	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	940.99	942.53	921.37	928.33	-10.02	-1.07	1229.52	102.04	50
20220530	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	930.97	933.69	922.68	933.31	4.98	0.54	1214.07	96.53	50
20220531	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	931.17	954.90	926.32	951.86	18.55	1.99	1535.79	121.59	50
20220601	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	949.45	960.51	946.51	953.39	1.53	0.16	1477.36	117.49	50
20220602	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	946.57	951.34	936.45	950.76	-2.63	-0.28	1116.72	93.84	50
20220606	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	947.86	967.11	947.36	966.68	15.92	1.67	1351.22	108.99	50
20220607	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	967.92	974.28	958.12	965.59	-1.09	-0.11	1290.21	104.55	50
20220608	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	974.32	976.93	952.04	969.65	4.07	0.42	1502.90	125.79	50
20220609	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	966.90	974.40	956.18	961.03	-8.63	-0.89	1344.63	114.70	50
20220610	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	952.63	974.62	949.67	971.51	10.48	1.09	1460.29	119.43	50
20220613	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	963.20	966.16	949.91	959.91	-11.59	-1.19	1699.57	126.01	50
20220614	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	951.01	956.40	926.13	956.37	-3.55	-0.37	1598.75	119.30	50
20220615	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	955.13	977.39	954.53	963.45	7.08	0.74	1771.91	134.17	50
20220616	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	963.87	1000.83	963.87	991.48	28.03	2.91	2219.24	187.77	50
20220617	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	988.22	989.56	963.71	979.35	-12.12	-1.22	1821.18	153.96	50
20220620	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	978.19	989.41	975.21	986.04	6.69	0.68	1392.36	124.20	50
20220621	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	985.39	999.75	981.42	996.90	10.86	1.10	1661.55	141.55	50
20220622	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	998.35	999.35	963.96	964.03	-32.87	-3.30	1693.83	137.94	50
20220623	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	965.13	971.10	949.53	970.77	6.74	0.70	1641.85	116.98	50
20220624	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	970.74	979.09	968.06	974.43	3.66	0.38	1519.99	111.22	50
20220627	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	976.88	999.17	976.88	984.29	9.86	1.01	1611.41	136.80	50
20220628	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	982.64	991.78	973.76	991.04	6.74	0.69	1358.28	114.01	50
20220629	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	987.73	1002.04	979.25	979.25	-11.78	-1.19	1595.43	128.56	50
20220630	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	983.49	1001.58	983.49	990.88	11.62	1.19	1590.20	134.66	50
20220701	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	991.25	991.68	973.84	975.11	-15.77	-1.59	1189.11	101.40	50
20220704	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	974.15	976.06	966.28	974.64	-0.47	-0.05	1012.21	84.68	50
20220705	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	974.24	977.01	950.07	960.47	-14.17	-1.45	1239.05	103.86	50
20220706	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	958.99	959.56	935.77	943.18	-17.29	-1.80	1106.42	89.35	50
20220707	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	943.12	943.76	935.39	938.97	-4.21	-0.45	872.95	73.06	50
